Begin Up, End Up
285.777, 285.81
285.841, 285.875
285.912, 285.945
285.967, 286.001
286.023, 286.056
286.083, 286.116
286.135, 286.169
286.189, 286.222
286.244, 286.277
286.297, 286.331
286.352, 286.384
286.416, 286.448
286.475, 286.494
286.518, 286.536
286.571, 286.601
286.623, 286.641
286.662, 286.681
286.7, 286.73
286.749, 286.768
289.737, 289.787
289.813, 289.854
289.879, 289.918
289.945, 289.986
290.016, 290.055
290.101, 290.141
290.173, 290.214
290.239, 290.279
290.309, 290.35
290.375, 290.416
290.44, 290.479
290.506, 290.531
290.568, 290.609
290.631, 290.671
290.698, 290.738
290.758, 290.791
290.815, 290.847
290.868, 290.9
290.92, 290.952
290.973, 291.005
291.037, 291.069
291.099, 291.13
291.159, 291.191
291.213, 291.245
291.265, 291.297
291.319, 291.351
291.371, 291.403
291.423, 291.455
291.477, 291.51
291.53, 291.568
294.377, 294.409
294.444, 294.478
294.501, 294.536
294.572, 294.607
294.636, 294.67
294.692, 294.726
294.752, 294.793
294.817, 294.856
294.88, 294.919
294.942, 294.981
295.002, 295.041
295.066, 295.104
295.127, 295.167
295.189, 295.227
295.251, 295.29
295.312, 295.352
295.385, 295.424
295.459, 295.498
295.524, 295.563
295.585, 295.624
295.652, 295.691
295.716, 295.753
295.778, 295.809
295.832, 295.864
295.886, 295.917
295.941, 295.973
295.994, 296.026
296.05, 296.082
296.105, 296.137
296.159, 296.19
299.382, 299.432
299.461, 299.502
299.525, 299.565
299.588, 299.628
299.651, 299.692
299.716, 299.757
299.78, 299.819
299.844, 299.883
299.906, 299.945
299.967, 300.007
300.035, 300.074
300.102, 300.147
300.189, 300.228
300.257, 300.279
300.311, 300.334
300.365, 300.39
300.411, 300.433
300.456, 300.486
300.519, 300.541
300.564, 300.586
300.609, 300.631
300.656, 300.678
300.701, 300.723
300.745, 300.766
300.789, 300.807
300.828, 300.846
300.865, 300.883
300.904, 300.923
300.964, 300.982
301.021, 301.04
301.065, 301.084
301.103, 301.121
304.025, 304.068
304.119, 304.144
304.263, 304.282
304.305, 304.324
304.354, 304.372
304.457, 304.487
304.533, 304.609
304.631, 304.655
304.692, 304.712
304.757, 304.777
304.819, 304.851
304.874, 304.909
304.932, 304.97
304.994, 305.026
305.051, 305.07
305.106, 305.126
305.161, 305.179
305.208, 305.227
305.252, 305.27
305.293, 305.311
305.338, 305.356
305.381, 305.399
305.421, 305.439
305.468, 305.487
305.511, 305.529
305.554, 305.572
305.598, 305.616
305.641, 305.659
305.685, 305.703
305.729, 305.748
305.77, 305.789
308.617, 308.65
308.682, 308.707
308.729, 308.752
308.779, 308.798
308.819, 308.837
308.867, 308.896
308.938, 308.988
309.02, 309.042
309.142, 309.166
309.203, 309.227
309.265, 309.287
