Begin Down, End Down
277.144, 277.175
277.194, 277.226
277.247, 277.278
277.298, 277.328
277.348, 277.38
277.403, 277.434
277.455, 277.485
277.506, 277.538
277.56, 277.59
277.61, 277.642
280.401, 280.452
280.493, 280.533
280.56, 280.599
280.624, 280.661
280.689, 280.724
280.747, 280.779
280.801, 280.834
280.854, 280.887
280.907, 280.937
280.965, 280.996
281.015, 281.046
281.067, 281.098
281.12, 281.151
281.171, 281.204
281.224, 281.256
281.276, 281.308
281.328, 281.36
281.379, 281.41
281.432, 281.463
281.483, 281.514
281.534, 281.566
281.588, 281.619
281.64, 281.671
281.694, 281.725
281.746, 281.779
281.799, 281.829
281.852, 281.883
281.904, 281.936
281.956, 281.993
282.014, 282.045
282.076, 282.108
282.129, 282.16
285.102, 285.137
285.168, 285.198
285.225, 285.255
285.281, 285.313
285.335, 285.367
285.387, 285.419
285.442, 285.466
285.495, 285.526
285.548, 285.578
285.608, 285.631
285.659, 285.691
285.719, 285.754
285.777, 285.81
285.848, 285.882
285.912, 285.932
285.967, 286.001
286.023, 286.056
286.084, 286.116
286.136, 286.169
286.189, 286.222
286.244, 286.277
286.298, 286.331
286.352, 286.384
286.418, 286.448
286.475, 286.494
286.518, 286.548
286.572, 286.603
286.623, 286.641
286.663, 286.681
286.701, 286.719
286.751, 286.783
289.74, 289.77
289.815, 289.838
289.879, 289.918
289.945, 289.986
290.019, 290.063
290.106, 290.128
290.173, 290.214
290.239, 290.279
290.309, 290.35
290.375, 290.416
290.44, 290.479
290.506, 290.546
290.57, 290.609
290.632, 290.671
290.698, 290.738
290.76, 290.791
290.815, 290.847
290.869, 290.9
290.92, 290.952
290.974, 291.005
291.039, 291.069
291.099, 291.13
291.159, 291.191
291.213, 291.245
291.266, 291.297
291.32, 291.351
291.372, 291.403
291.423, 291.455
291.479, 291.51
291.53, 291.562
294.38, 294.419
294.448, 294.472
294.505, 294.528
294.577, 294.611
294.636, 294.661
294.692, 294.715
294.752, 294.793
294.817, 294.856
294.882, 294.919
294.944, 294.981
295.003, 295.041
295.066, 295.104
295.127, 295.167
295.189, 295.227
295.251, 295.29
295.312, 295.352
295.385, 295.424
295.461, 295.498
295.525, 295.563
295.587, 295.624
295.652, 295.691
295.716, 295.753
295.778, 295.809
295.832, 295.864
295.887, 295.917
