Begin Mid, Begin Up, Begin Down, End Mid, End Up, End Down
77.0217, 77.0226, 77.0226, 77.2218, 77.2285, 77.2218
77.25, 77.25, 77.25, 77.4413, 77.4442, 77.4428
77.4667, 77.4682, 77.4696, 77.6542, 77.6589, 77.7582
77.7797, 77.7797, 77.7807, 78.0172, 78.0276, 78.0664
78.0883, 78.0883, 78.0883, 78.4009, 78.3883, 78.3896
78.4249, 78.4249, 78.4249, 78.673, 78.8062, 78.6924
78.828, 78.829, 78.829, 79.1162, 79.1191, 79.0343
79.141, 79.141, 79.142, 79.3822, 79.3822, 79.3426
79.4065, 79.4065, 79.4075, 79.6017, 79.6046, 79.6037
79.6399, 79.6399, 79.6399, 79.8375, 79.8365, 79.8441
79.8698, 79.8684, 79.8741, 80.0788, 80.0846, 80.073
80.1547, 80.1561, 80.1561, 80.3468, 80.3534, 80.3759
80.3987, 80.3987, 80.4006, 80.6388, 80.6388, 80.6177
80.6702, 80.6702, 80.6722, 80.872, 80.8734, 80.872
80.8941, 80.8941, 80.8941, 81.0918, 81.0908, 81.0989
81.1207, 81.1207, 81.1207, 81.331, 81.332, 81.3238
81.3562, 81.3562, 81.3562, 81.5706, 81.5691, 81.5231
81.5937, 81.5937, 81.5937, 81.8035, 81.8059, 81.7572
81.8273, 81.8283, 81.8283, 82.0507, 82.0641, 82.0111
82.0878, 82.0878, 82.0893, 82.327, 82.327, 82.275
82.3498, 82.3498, 82.3508, 82.5715, 82.5715, 82.5262
82.5934, 82.5934, 82.5948, 82.8072, 82.8072, 82.7589
82.8334, 82.8334, 82.8334, 83.05, 83.0514, 83
83.0743, 83.073, 83.0785, 83.2752, 83.2776, 83.2351
83.2981, 83.299, 83.299, 83.5059, 83.5107, 83.465
83.535, 83.535, 83.535, 83.7509, 83.7452, 83.7049
83.7723, 83.7737, 83.7737, 83.9805, 83.9805, 83.9342
84.0052, 84.0052, 84.0052, 84.2243, 84.2243, 84.1748
84.2455, 84.2455, 84.2455, 84.4577, 84.4577, 84.4109
84.4796, 84.4796, 84.4805, 84.6727, 84.6727, 84.7882
84.8122, 84.8137, 84.8151, 84.999, 85.0018, 85.1216
85.1441, 85.1441, 85.1475, 85.3408, 85.3502, 85.3464
85.3717, 85.3717, 85.3727, 85.608, 85.621, 85.5662
85.6457, 85.6457, 85.6457, 85.8433, 85.8433, 85.8433
85.865, 85.865, 85.8664, 86.0676, 86.0676, 86.0676
86.0898, 86.0898, 86.0913, 86.3074, 86.3145, 86.3145
86.3398, 86.3398, 86.3408, 86.5336, 86.5355, 86.5355
86.556, 86.556, 86.556, 86.9004, 86.8926, 86.7725
86.9229, 86.9229, 86.9229, 87.2428, 87.2428, 87.1411
87.2667, 87.2667, 87.2677, 87.5096, 87.5615, 87.4714
87.5835, 87.5835, 87.5835, 87.8333, 87.8714, 87.8333
87.8953, 87.8953, 87.8953, 88.1343, 88.1343, 88.091
88.1638, 88.1638, 88.1653, 88.3628, 88.4063, 88.3628
88.4277, 88.4277, 88.4277, 88.6715, 88.6692, 88.6263
88.6955, 88.6955, 88.6969, 88.8922, 88.8922, 88.8922
88.9138, 88.9138, 88.9147, 89.1146, 89.1146, 89.1146
89.1365, 89.1365, 89.1365, 89.3259, 89.3312, 89.3408
89.3651, 89.3651, 89.3651, 89.5656, 89.5642, 89.5642
89.5865, 89.5865, 89.5874, 89.7831, 89.7831, 89.7831
89.8054, 89.8054, 89.8054, 90.0027, 90.0027, 90.0027
90.028, 90.028, 90.028, 90.2469, 90.2412, 90.2498
90.2808, 90.2808, 90.2808, 90.5003, 90.5003, 90.5003
90.5228, 90.5228, 90.5228, 90.7442, 90.7442, 90.7442
90.7695, 90.7695, 90.7695, 91.0283, 91.034, 90.9872
91.0555, 91.0565, 91.0565, 91.2625, 91.2625, 91.2625
91.286, 91.286, 91.286, 91.4443, 91.5058, 91.4443
91.5268, 91.5268, 91.5306, 91.6791, 91.6782, 91.7975
91.8197, 91.8207, 91.8221, 91.9746, 91.9727, 92.0495
92.0733, 92.0733, 92.0747, 92.2457, 92.2481, 92.2514
92.2738, 92.2738, 92.2752, 92.4365, 92.4389, 92.4487
92.4697, 92.4697, 92.4697, 92.6387, 92.6387, 92.6387
92.6631, 92.6631, 92.6645, 92.8325, 92.8325, 92.8334
92.8549, 92.8549, 92.8563, 93.0184, 93.0184, 93.0212
93.0427, 93.0427, 93.0427, 93.2101, 93.2101, 93.2101
93.2463, 93.2463, 93.259, 93.4128, 93.4128, 93.4424
93.4644, 93.4644, 93.4658, 93.6572, 93.6515, 93.648
93.6771, 93.6771, 93.6771, 93.8355, 93.8289, 93.8452
93.8689, 93.8704, 93.8704, 94.0412, 94.0393, 94.0374
94.0625, 94.0625, 94.0634, 94.2375, 94.2643, 94.2394
94.2862, 94.2862, 94.2876, 94.459, 94.4618, 94.459
94.4861, 94.4876, 94.4928, 94.6513, 94.6513, 94.6513
94.6727, 94.6727, 94.6741, 94.8385, 94.8385, 94.8385
94.863, 94.863, 94.863, 95.0277, 95.0277, 95.0277
95.0495, 95.0495, 95.0495, 95.2168, 95.2168, 95.2168
95.2387, 95.2387, 95.2387, 95.4024, 95.4024, 95.4024
95.4273, 95.4273, 95.4287, 95.5917, 95.5917, 95.5941
95.6151, 95.6151, 95.616, 95.7817, 95.7845, 95.7817
95.8065, 95.8065, 95.8065, 95.9693, 95.9693, 95.9693
95.9941, 95.9941, 95.9941, 96.1572, 96.1572, 96.1572
96.179, 96.179, 96.179, 96.3402, 96.3402, 96.3402
96.3616, 96.363, 96.363, 96.5238, 96.5238, 96.5238
96.5482, 96.5482, 96.5496, 96.7128, 96.7128, 96.7152
96.7363, 96.7363, 96.7363, 96.9002, 96.9002, 96.9002
96.9223, 96.9223, 96.9223, 97.0821, 97.0802, 97.0831
97.1064, 97.1064, 97.1064, 97.2728, 97.2846, 97.277
97.3061, 97.3061, 97.3061, 97.466, 97.4776, 97.466
97.5014, 97.5014, 97.5014, 97.6686, 97.6686, 97.6686
97.6911, 97.6911, 97.6911, 97.8538, 97.8538, 97.8557
97.8773, 97.8773, 97.8782, 98.0485, 98.0485, 98.0485
98.0729, 98.0729, 98.0729, 98.2526, 98.2507, 98.2473
98.2749, 98.2749, 98.2758, 98.4284, 98.427, 98.498
98.5192, 98.5192, 98.5206, 98.6776, 98.6856, 98.76
98.7852, 98.7852, 98.7886, 98.938, 98.9394, 98.9842
99.0062, 99.0062, 99.0076, 99.1652, 99.1618, 99.1732
99.1947, 99.1957, 99.1957, 99.3682, 99.3587, 99.3587
99.392, 99.392, 99.392, 99.5628, 99.5594, 99.5628
99.5851, 99.5851, 99.5851, 99.7574, 99.7574, 99.7574
99.7807, 99.7793, 99.7851, 99.9421, 99.9421, 99.9421
99.9665, 99.9665, 99.9674, 100.129, 100.129, 100.129
100.151, 100.151, 100.151, 100.313, 100.313, 100.313
100.339, 100.339, 100.339, 100.504, 100.51, 100.51
100.531, 100.531, 100.532, 100.71, 100.708, 100.701
100.731, 100.731, 100.732, 100.915, 100.919, 100.9
100.942, 100.942, 100.942, 101.175, 101.156, 101.106
101.196, 101.196, 101.196, 101.425, 101.415, 101.373
101.446, 101.446, 101.446, 101.657, 101.657, 101.612
101.684, 101.684, 101.684, 101.891, 101.892, 101.852
101.915, 101.915, 101.916, 102.122, 102.122, 102.081
102.143, 102.143, 102.143, 102.385, 102.375, 102.331
102.411, 102.411, 102.413, 102.621, 102.623, 102.577
102.644, 102.644, 102.644, 102.854, 102.853, 102.81
102.876, 102.876, 102.878, 103.101, 103.101, 103.043
103.126, 103.126, 103.126, 103.338, 103.343, 103.302
103.366, 103.366, 103.367, 103.577, 103.579, 103.527
103.601, 103.601, 103.601, 103.814, 103.816, 103.774
103.841, 103.841, 103.841, 104.05, 104.052, 104
104.073, 104.073, 104.073, 104.292, 104.283, 104.237
104.327, 104.327, 104.327, 104.543, 104.537, 104.49
104.564, 104.564, 104.565, 104.779, 104.779, 104.731
104.801, 104.801, 104.801, 105.015, 105.015, 104.967
105.039, 105.039, 105.041, 105.241, 105.274, 105.204
105.296, 105.296, 105.297, 105.505, 105.501, 105.535
105.557, 105.557, 105.558, 105.763, 105.761, 105.801
105.826, 105.826, 105.827, 106.029, 106.031, 106.02
106.052, 106.052, 106.052, 106.275, 106.288, 106.242
106.31, 106.31, 106.31, 106.519, 106.523, 106.479
106.551, 106.552, 106.552, 106.757, 106.763, 106.714
106.788, 106.788, 106.788, 106.996, 107.008, 106.956
107.03, 107.03, 107.03, 107.246, 107.246, 107.201
107.271, 107.271, 107.271, 107.487, 107.492, 107.448
107.532, 107.532, 107.532, 107.738, 107.742, 107.742
107.765, 107.765, 107.767, 108.008, 107.99, 107.992
108.028, 108.028, 108.029, 108.269, 108.25, 108.266
